LXT info: dumpfile eightbitaddsub_inints_dump.lxt opened for output.
---------------add opeartion----------------------
in1:   x | in2:   x | ctrl: x || crry: x | sum:   x
in1:   0 | in2:   0 | ctrl: 0 || crry: 0 | sum:   0
in1:   0 | in2:   1 | ctrl: 0 || crry: 0 | sum:   1
in1:   0 | in2:   2 | ctrl: 0 || crry: 0 | sum:   2
in1:   0 | in2:   3 | ctrl: 0 || crry: 0 | sum:   3
in1:   0 | in2:   4 | ctrl: 0 || crry: 0 | sum:   4
in1:   0 | in2:   5 | ctrl: 0 || crry: 0 | sum:   5
in1:   0 | in2:   6 | ctrl: 0 || crry: 0 | sum:   6
in1:   0 | in2:   7 | ctrl: 0 || crry: 0 | sum:   7
in1:   0 | in2:   8 | ctrl: 0 || crry: 0 | sum:   8
in1:   0 | in2:   9 | ctrl: 0 || crry: 0 | sum:   9
in1:   0 | in2:  10 | ctrl: 0 || crry: 0 | sum:  10
in1:   0 | in2:  11 | ctrl: 0 || crry: 0 | sum:  11
in1:   0 | in2:  12 | ctrl: 0 || crry: 0 | sum:  12
in1:   0 | in2:  13 | ctrl: 0 || crry: 0 | sum:  13
in1:   0 | in2:  14 | ctrl: 0 || crry: 0 | sum:  14
in1:   0 | in2:  15 | ctrl: 0 || crry: 0 | sum:  15
in1:   0 | in2:  16 | ctrl: 0 || crry: 0 | sum:  16
in1:   0 | in2:  17 | ctrl: 0 || crry: 0 | sum:  17
in1:   0 | in2:  18 | ctrl: 0 || crry: 0 | sum:  18
in1:   0 | in2:  19 | ctrl: 0 || crry: 0 | sum:  19
in1:   0 | in2:  20 | ctrl: 0 || crry: 0 | sum:  20
in1:   0 | in2:  21 | ctrl: 0 || crry: 0 | sum:  21
in1:   0 | in2:  22 | ctrl: 0 || crry: 0 | sum:  22
in1:   0 | in2:  23 | ctrl: 0 || crry: 0 | sum:  23
in1:   0 | in2:  24 | ctrl: 0 || crry: 0 | sum:  24
in1:   0 | in2:  25 | ctrl: 0 || crry: 0 | sum:  25
in1:   0 | in2:  26 | ctrl: 0 || crry: 0 | sum:  26
in1:   0 | in2:  27 | ctrl: 0 || crry: 0 | sum:  27
in1:   0 | in2:  28 | ctrl: 0 || crry: 0 | sum:  28
in1:   0 | in2:  29 | ctrl: 0 || crry: 0 | sum:  29
in1:   0 | in2:  30 | ctrl: 0 || crry: 0 | sum:  30
in1:   0 | in2:  31 | ctrl: 0 || crry: 0 | sum:  31
in1:   0 | in2:  32 | ctrl: 0 || crry: 0 | sum:  32
in1:   0 | in2:  33 | ctrl: 0 || crry: 0 | sum:  33
in1:   0 | in2:  34 | ctrl: 0 || crry: 0 | sum:  34
in1:   0 | in2:  35 | ctrl: 0 || crry: 0 | sum:  35
in1:   0 | in2:  36 | ctrl: 0 || crry: 0 | sum:  36
in1:   0 | in2:  37 | ctrl: 0 || crry: 0 | sum:  37
in1:   0 | in2:  38 | ctrl: 0 || crry: 0 | sum:  38
in1:   0 | in2:  39 | ctrl: 0 || crry: 0 | sum:  39
in1:   0 | in2:  40 | ctrl: 0 || crry: 0 | sum:  40
in1:   0 | in2:  41 | ctrl: 0 || crry: 0 | sum:  41
in1:   0 | in2:  42 | ctrl: 0 || crry: 0 | sum:  42
in1:   0 | in2:  43 | ctrl: 0 || crry: 0 | sum:  43
in1:   0 | in2:  44 | ctrl: 0 || crry: 0 | sum:  44
in1:   0 | in2:  45 | ctrl: 0 || crry: 0 | sum:  45
in1:   0 | in2:  46 | ctrl: 0 || crry: 0 | sum:  46
in1:   0 | in2:  47 | ctrl: 0 || crry: 0 | sum:  47
in1:   0 | in2:  48 | ctrl: 0 || crry: 0 | sum:  48
in1:   0 | in2:  49 | ctrl: 0 || crry: 0 | sum:  49
in1:   0 | in2:  50 | ctrl: 0 || crry: 0 | sum:  50
in1:   0 | in2:  51 | ctrl: 0 || crry: 0 | sum:  51
in1:   0 | in2:  52 | ctrl: 0 || crry: 0 | sum:  52
in1:   0 | in2:  53 | ctrl: 0 || crry: 0 | sum:  53
in1:   0 | in2:  54 | ctrl: 0 || crry: 0 | sum:  54
in1:   0 | in2:  55 | ctrl: 0 || crry: 0 | sum:  55
in1:   0 | in2:  56 | ctrl: 0 || crry: 0 | sum:  56
in1:   0 | in2:  57 | ctrl: 0 || crry: 0 | sum:  57
in1:   0 | in2:  58 | ctrl: 0 || crry: 0 | sum:  58
in1:   0 | in2:  59 | ctrl: 0 || crry: 0 | sum:  59
